household_id,zone_id,archetype,timestamp,load_kw,temperature_c
zone_0_hh_00,zone_0,family,2026-06-01 00:00:00 UTC,1.1025,22.2
zone_0_hh_01,zone_0,single_professional,2026-06-01 00:00:00 UTC,0.2909,22.2
zone_0_hh_02,zone_0,wfh,2026-06-01 00:00:00 UTC,1.8678,22.2
zone_0_hh_03,zone_0,retired,2026-06-01 00:00:00 UTC,1.0559,22.2
zone_0_hh_04,zone_0,small_business,2026-06-01 00:00:00 UTC,0.4844,22.2
zone_0_hh_05,zone_0,family,2026-06-01 00:00:00 UTC,0.7677,22.2
zone_0_hh_06,zone_0,single_professional,2026-06-01 00:00:00 UTC,0.05,22.2
zone_0_hh_07,zone_0,wfh,2026-06-01 00:00:00 UTC,1.4492,22.2
zone_0_hh_08,zone_0,retired,2026-06-01 00:00:00 UTC,0.8348,22.2
zone_0_hh_09,zone_0,small_business,2026-06-01 00:00:00 UTC,0.7882,22.2
zone_0_hh_10,zone_0,family,2026-06-01 00:00:00 UTC,0.781,22.2
zone_0_hh_11,zone_0,single_professional,2026-06-01 00:00:00 UTC,0.2728,22.2
zone_0_hh_00,zone_0,family,2026-06-01 01:00:00 UTC,0.8231,24.5
zone_0_hh_01,zone_0,single_professional,2026-06-01 01:00:00 UTC,0.4196,24.5
zone_0_hh_02,zone_0,wfh,2026-06-01 01:00:00 UTC,1.5854,24.5
zone_0_hh_03,zone_0,retired,2026-06-01 01:00:00 UTC,1.1809,24.5
zone_0_hh_04,zone_0,small_business,2026-06-01 01:00:00 UTC,0.503,24.5
zone_0_hh_05,zone_0,family,2026-06-01 01:00:00 UTC,0.7481,24.5
zone_0_hh_06,zone_0,single_professional,2026-06-01 01:00:00 UTC,0.4953,24.5
zone_0_hh_07,zone_0,wfh,2026-06-01 01:00:00 UTC,1.6299,24.5
zone_0_hh_08,zone_0,retired,2026-06-01 01:00:00 UTC,0.8602,24.5
zone_0_hh_09,zone_0,small_business,2026-06-01 01:00:00 UTC,0.6394,24.5
zone_0_hh_10,zone_0,family,2026-06-01 01:00:00 UTC,0.8534,24.5
zone_0_hh_11,zone_0,single_professional,2026-06-01 01:00:00 UTC,0.3858,24.5
zone_0_hh_00,zone_0,family,2026-06-01 02:00:00 UTC,1.2066,27.7
zone_0_hh_01,zone_0,single_professional,2026-06-01 02:00:00 UTC,0.2158,27.7
zone_0_hh_02,zone_0,wfh,2026-06-01 02:00:00 UTC,1.8488,27.7
zone_0_hh_03,zone_0,retired,2026-06-01 02:00:00 UTC,1.0887,27.7
zone_0_hh_04,zone_0,small_business,2026-06-01 02:00:00 UTC,0.3702,27.7
zone_0_hh_05,zone_0,family,2026-06-01 02:00:00 UTC,1.2054,27.7
zone_0_hh_06,zone_0,single_professional,2026-06-01 02:00:00 UTC,0.4444,27.7
zone_0_hh_07,zone_0,wfh,2026-06-01 02:00:00 UTC,1.7241,27.7
zone_0_hh_08,zone_0,retired,2026-06-01 02:00:00 UTC,1.362,27.7
zone_0_hh_09,zone_0,small_business,2026-06-01 02:00:00 UTC,0.7634,27.7
zone_0_hh_10,zone_0,family,2026-06-01 02:00:00 UTC,0.61,27.7
zone_0_hh_11,zone_0,single_professional,2026-06-01 02:00:00 UTC,0.3658,27.7
zone_0_hh_00,zone_0,family,2026-06-01 03:00:00 UTC,0.6888,30.5
zone_0_hh_01,zone_0,single_professional,2026-06-01 03:00:00 UTC,0.3939,30.5
zone_0_hh_02,zone_0,wfh,2026-06-01 03:00:00 UTC,1.0859,30.5
zone_0_hh_03,zone_0,retired,2026-06-01 03:00:00 UTC,0.9685,30.5
zone_0_hh_04,zone_0,small_business,2026-06-01 03:00:00 UTC,0.4374,30.5
zone_0_hh_05,zone_0,family,2026-06-01 03:00:00 UTC,0.7739,30.5
zone_0_hh_06,zone_0,single_professional,2026-06-01 03:00:00 UTC,0.1601,30.5
zone_0_hh_07,zone_0,wfh,2026-06-01 03:00:00 UTC,1.0565,30.5
zone_0_hh_08,zone_0,retired,2026-06-01 03:00:00 UTC,0.8923,30.5
zone_0_hh_09,zone_0,small_business,2026-06-01 03:00:00 UTC,0.4387,30.5
zone_0_hh_10,zone_0,family,2026-06-01 03:00:00 UTC,0.49,30.5
zone_0_hh_11,zone_0,single_professional,2026-06-01 03:00:00 UTC,0.1632,30.5
zone_0_hh_00,zone_0,family,2026-06-01 04:00:00 UTC,1.2542,32.3
zone_0_hh_01,zone_0,single_professional,2026-06-01 04:00:00 UTC,0.4015,32.3
zone_0_hh_02,zone_0,wfh,2026-06-01 04:00:00 UTC,1.3737,32.3
zone_0_hh_03,zone_0,retired,2026-06-01 04:00:00 UTC,1.3599,32.3
zone_0_hh_04,zone_0,small_business,2026-06-01 04:00:00 UTC,0.623,32.3
